🕘️更新时间,#genre#
2026-06-18 19:44:28,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u

♻️未匹配频道,#genre#
CCTV-1,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV-2,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV-3,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV-4,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-4,https://www.youtube.com/channel/UC4K_LI-Tn3-LshNgG0-YypQ/live
CCTV-4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV-5,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-5,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8?
CCTV-5+,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-5+,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?
CCTV-6,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-6,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8?
CCTV-7,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-7,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?
CCTV-8,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-8,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8?
CCTV-9,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-9,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?
CCTV-10,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-10,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?
CCTV-11,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-11,https://xykt-fix.github.io/play/a02b/index.m3u8
CCTV-11,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?
CCTV-12,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-12,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?
CCTV-13,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
CCTV-13,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?
CCTV-14,https://raw.githubusercontent.com/iptv-org/iptv/master/streams/cn.m3u
